method,threshold,selection_n,selection_coverage,selection_error,test_n,test_deferred,test_coverage,test_error,test_accuracy,test_macro_f1,policy_ece,test_ece,test_brier,test_log_loss
uncalibrated,0.5913746963,1816,0.9190283401,0.0099118943,8847,949,0.9031237240,0.0033909800,0.9966090200,0.9919250951,0.0795247186,0.1030597296,0.0841612983,0.2326729472
sigmoid_calibrated,0.6559957325,1867,0.9448380567,0.0096411355,8759,1037,0.8941404655,0.0255736956,0.9744263044,0.9687899003,0.0188488240,0.0317804914,0.1195608603,0.3211267941
