run_name,case_label,sha256,true_family,predicted_family,side,rank,feature_name,feature_group,feature_value,contribution
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,1,artifact::exefile,art_tfidf,0.2583880167020768,1.120628199225668
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,2,artifact::systemfileassociations,art_tfidf,0.2447110642785938,0.9410620588494228
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,3,artifact::identifier,art_tfidf,0.160871288514623,0.533373828393143
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,4,artifact::global,art_tfidf,0.1242914430853083,0.4447292354099589
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,5,artifact::hkey_classes_root,art_tfidf,0.1744077966278314,0.3965271329092594
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,supporting,6,artifact::mutex,art_tfidf,0.1043631575710674,0.324334137981138
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,opposing,1,artifact::hkey_current_user,art_tfidf,0.1762538899863771,-0.3631155385653206
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,opposing,2,artifact::microsoft,art_tfidf,0.1751709036321014,-0.2840614080869748
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,opposing,3,artifact::software,art_tfidf,0.2075163573930134,-0.1837927704338167
global_art_tfidf_sgd,high_confidence_correct,e1a94beaaf6f39dfabf4ea7eed5c47b59009e0be426156e8d0d986f763c42cb5,emotet,emotet,opposing,4,artifact::windows,art_tfidf,0.1712230523281142,-0.1607614095628891
