,adload,emotet,harhar,lokibot,njrat,qakbot,swisyn,trickbot,ursnif,zeus
adload,141,0,0,0,0,0,0,0,0,0
emotet,0,2723,0,14,4,58,7,33,46,1
harhar,0,0,130,0,1,0,0,0,0,0
lokibot,0,4,0,762,67,0,4,1,0,1
njrat,0,0,0,2,664,0,2,1,0,6
qakbot,0,1,0,0,0,975,0,0,0,3
swisyn,0,1,0,0,5,0,2513,0,0,0
trickbot,0,2,0,1,3,0,3,806,0,26
ursnif,0,0,0,0,0,0,0,0,268,1
zeus,0,10,0,5,12,2,0,1,0,489
