start_boundary,end_boundary,start_test_start,end_test_end,trigger_reason,min_macro_f1,n_windows
2018-08-30,2018-08-30,2018-08-30,2018-09-29,floor+trailing_mean_drop,0.6696110307050376,1
2019-02-26,2019-07-26,2019-02-26,2019-08-25,floor+trailing_mean_drop,0.6690237956937872,6
