run,macro_f1_point,macro_f1_ci_lo,macro_f1_ci_hi,ci_width,n_test
baseline_random_api_hash_sgd,0.8718281565069725,0.8634629602661362,0.8804892768508137,0.01702631658467746,9796
table_5_11_fusion_global_sgd,0.9316918836538353,0.9257334601942474,0.9375731911744104,0.011839730980162999,9796
table_5_12_fusion_per_family_sgd,0.9607077105644265,0.9563040002882922,0.9650509293719631,0.008746929083670918,9799
table_5_8,0.9024446383547359,0.8801236284934184,0.930575322462144,0.05045169396872562,9796
table_6_1_fusion_global_lightgbm,0.9118023805061144,0.9054120581787225,0.9183427938354233,0.012930735656700776,9796
